Team,Elo,AvgGoals5,AvgConceded5,WinRate5,country
Lommel,1371.01,1.8,2.6,0.4,BEL
Molenbeek,1385.28,1.6,1.8,0.5,BEL
Malatyaspor,1424.69,1.8,1.0,0.7,TUR
Setubal,1366.18,0.6,1.6,0.1,POR
Den Bosch,1333.44,0.8,1.6,0.3,NED
Santa Clara,1477.46,1.2,0.8,0.6,POR
Poli Ejido,1538.52,1.0,0.8,0.5,ESP
Burgos,1486.82,1.2,1.8,0.2,ESP
Xerez,1402.55,1.6,2.6,0.2,ESP
Como,1658.42,1.8,0.4,0.9,ITA
Modena,1458.79,1.6,2.2,0.3,ITA
Messina,1442.64,0.6,1.4,0.3,ITA
Palermo,1494.77,1.6,1.4,0.4,ITA
Reims,1586.42,0.6,0.6,0.5,FRA
Partick,1135.73,0.6,1.8,0.2,SCO
Clermont,1399.92,1.2,1.8,0.4,FRA
Valence,1431.11,1.2,0.8,0.7,FRA
Bergen,1315.53,1.4,2.2,0.4,BEL
Altay,1310.99,0.8,1.0,0.4,TUR
Ein Trier,1438.08,0.4,1.8,0.2,GER
Burghausen,1385.88,0.8,1.8,0.2,GER
Brighton,1797.83,2.2,1.8,0.7,ENG
Reading,1427.35,0.8,1.6,0.3,ENG
Stoke,1464.15,0.8,1.8,0.5,ENG
Lubeck,1453.8,1.2,1.2,0.4,GER
Braunschweig,1388.8,1.8,1.6,0.6,GER
Elazigspor,1439.77,0.8,1.0,0.4,TUR
Zwolle,1454.79,1.4,1.6,0.6,NED
Excelsior,1351.22,2.2,1.4,0.5,NED
Academica,1378.47,0.8,1.6,0.2,POR
Moreirense,1447.6,1.0,2.2,0.2,POR
Nacional,1413.7,1.2,1.8,0.4,POR
Almeria,1544.16,2.0,0.6,0.7,ESP
Terrassa,1472.37,1.2,2.2,0.2,ESP
Catania,1471.52,1.4,2.0,0.3,ITA
Ascoli,1435.22,0.6,0.6,0.5,ITA
Livorno,1274.05,0.6,2.4,0.0,ITA
Triestina,1343.61,1.0,1.6,0.4,ITA
Besancon,1394.26,0.0,0.0,0.5,FRA
Erzgebirge Aue,1343.09,1.0,2.8,0.3,GER
Regensburg,1321.17,1.2,1.4,0.5,GER
Cardiff,1430.69,0.6,1.2,0.3,ENG
Wigan,1418.15,0.6,1.0,0.4,ENG
Konyaspor,1399.98,1.8,1.4,0.6,TUR
Heusden Zolder,1362.2,1.4,2.0,0.5,BEL
Cercle Brugge,1483.53,1.6,1.8,0.5,BEL
A. Sebatspor,1371.54,1.6,3.0,0.3,TUR
Den Haag,1298.93,1.0,1.8,0.5,NED
Rio Ave,1452.09,1.2,1.8,0.4,POR
Volendam,1291.02,1.2,3.6,0.2,NED
Malaga B,1478.36,2.2,2.2,0.6,ESP
Cadiz,1525.76,1.8,1.2,0.6,ESP
Ciudad de Murcia,1615.08,1.6,0.8,0.9,ESP
Algeciras,1506.6,1.6,1.8,0.4,ESP
Albinoleffe,1279.27,0.6,1.4,0.3,ITA
Avellino,1378.79,0.4,1.2,0.4,ITA
Dijon,1374.19,1.8,0.6,0.8,FRA
Brest,1688.52,1.6,2.0,0.5,FRA
Sakaryaspor,1317.49,0.8,2.4,0.1,TUR
Kayserispor,1394.59,1.2,1.2,0.6,TUR
FC Brussels,1276.65,0.8,1.4,0.3,BEL
Dresden,1392.9,1.2,1.4,0.4,GER
Essen,1415.86,0.8,0.4,0.6,GER
Erfurt,1385.84,1.6,2.4,0.5,GER
Oostende,1359.81,1.2,3.6,0.1,BEL
Ankaraspor,1463.94,0.6,1.4,0.4,TUR
Pontevedra,1519.02,1.8,1.2,0.7,ESP
Penafiel,1342.28,0.4,1.8,0.3,POR
Estoril,1461.89,1.4,1.6,0.4,POR
Cesena,1433.52,0.8,1.4,0.5,ITA
Catanzaro,1473.46,1.4,1.8,0.4,ITA
